DealID,CompanyID,RepID,CreatedDateKey,LastActivityDateKey,ProductCategory,StageName,StageOrder,Status,DealValueEUR,BaseWinProbability,AdjustedWinProbability
10107,1332,153,20240103,20240108,CRM,Proposal,5,Open,5305,0.39,0.08
10108,1255,151,20240116,20240516,Analytics,Contracting,7,Won,23500,0.32,0.67
10109,1132,101,20240108,20240207,BI Reporting,Prospecting,1,Lost,5551,0.41,0.14
10110,1712,107,20240110,20240117,HR Tech,Prospecting,1,Lost,69957,0.24,0.02
10111,1063,103,20240111,20240112,BI Reporting,Contracting,7,Won,11875,0.44,0.79
10112,1758,151,20240103,20240214,Security,Contracting,7,Won,44359,0.39,0.74
10113,1425,130,20240109,20240118,Analytics,Qualification,2,Lost,4434,0.18,0.02
10114,1179,109,20240123,20240129,BI Reporting,Discovery,3,Lost,2240,0.33,0.06
10115,1829,138,20240118,20240528,Analytics,Contracting,7,Won,63925,0.12,0.45
10116,1948,153,20240115,20240325,CRM,Contracting,7,Won,81282,0.11,0.45
10117,1510,101,20240131,20240327,Analytics,Demo,4,Open,35058,0.34,0.08
10118,1641,121,20240109,20240110,Security,Proposal,5,Lost,18689,0.07,0.29
10119,1329,130,20240102,20240201,CRM,Discovery,3,Lost,7416,0.16,0.02
10120,1340,101,20240125,20240409,CRM,Proposal,5,Lost,10708,0.35,0.55
10121,1753,103,20240118,20240308,Analytics,Discovery,3,Lost,79872,0.4,0.02
10122,1048,122,20240116,20240118,BI Reporting,Proposal,5,Lost,9177,0.26,0.3
10123,1613,141,20240119,20240311,BI Reporting,Discovery,3,Lost,15562,0.21,0.02
10124,1103,109,20240131,20240208,CRM,Contracting,7,Won,3856,0.22,0.57
10125,1229,153,20240123,20240208,CRM,Prospecting,1,Lost,9879,0.35,0.08
10126,1116,105,20240117,20240318,HR Tech,Contracting,7,Won,20218,0.46,0.63
10127,1877,122,20240118,20240208,BI Reporting,Qualification,2,Lost,117726,0.1,0.02
10128,1878,107,20240118,20241125,BI Reporting,Contracting,7,Won,266947,0.21,0.56
10129,1319,101,20240104,20240409,HR Tech,Contracting,7,Won,10692,0.3,0.58
10130,1925,153,20240124,20240419,Security,Contracting,7,Won,76803,0.26,0.61
10131,1673,115,20240214,20240304,BI Reporting,Qualification,2,Lost,43958,0.36,0.09
10132,1629,155,20240214,20240322,CRM,Qualification,2,Lost,46312,0.21,0.02
10133,1767,125,20240209,20240216,BI Reporting,Prospecting,1,Lost,27863,0.34,0.07
10134,1225,107,20240226,20240412,BI Reporting,Contracting,7,Won,9253,0.41,0.76
10135,1965,147,20240219,20240320,Analytics,Contracting,7,Won,89563,0.18,0.53
10136,1085,133,20240206,20240417,CRM,Contracting,7,Won,18232,0.4,0.57
10137,1909,113,20240207,20240208,BI Reporting,Demo,4,Lost,127584,0.33,0.3
10138,1232,111,20240215,20240405,Security,Proposal,5,Lost,2512,0.26,0.43
10139,1676,138,20240227,20240315,Security,Demo,4,Lost,20768,0.19,0.41
10140,1998,135,20240202,20240226,HR Tech,Contracting,7,Open,78717,0.05,0.03
10141,1530,127,20240214,20240410,BI Reporting,Prospecting,1,Lost,18740,0.08,0.02
10142,1922,141,20240221,20240327,Analytics,Prospecting,1,Lost,61492,0.05,0.02
10143,1384,122,20240229,20241213,Analytics,Contracting,7,Won,12492,0.2,0.55
10144,1958,138,20240208,20240209,CRM,Demo,4,Lost,65233,0.05,0.09
10145,1050,131,20240227,20240305,Analytics,Contracting,7,Won,10969,0.53,0.88
10146,1147,101,20240207,20240226,CRM,Qualification,2,Open,6896,0.39,0.04
10147,1407,109,20240221,20240221,Security,Prospecting,1,Lost,1095,0.25,0.02
10148,1493,129,20240222,20240301,HR Tech,Prospecting,1,Lost,8634,0.25,0.02
10149,1644,110,20240214,20240306,BI Reporting,Qualification,2,Lost,46585,0.39,0.02
10150,1220,124,20240207,20240213,HR Tech,Discovery,3,Lost,13179,0.26,0.02
10151,1559,112,20240209,20240531,HR Tech,Contracting,7,Won,22721,0.28,0.63
10152,1287,138,20240209,20240216,BI Reporting,Prospecting,1,Lost,3763,0.32,0.05
10153,1914,115,20240902,20260225,Analytics,Proposal,5,Open,166921,0.27,0.02
10154,1827,115,20240229,20240417,HR Tech,Contracting,7,Open,243891,0.23,0.06
10155,1680,124,20240201,20240202,CRM,Demo,4,Lost,37437,0.24,0.21
10156,1532,141,20240216,20240603,Security,Contracting,7,Won,12068,0.23,0.58
10157,1375,147,20240227,20240411,HR Tech,Proposal,5,Lost,13523,0.29,0.46
10158,1988,101,20251013,20260209,BI Reporting,Qualification,2,Open,76544,0.21,0.02
10159,1233,106,20240207,20240223,HR Tech,Contracting,7,Won,8641,0.48,0.58
10160,1564,106,20240219,20240611,Security,Contracting,7,Won,28277,0.47,0.77
10161,1356,151,20240220,20240403,Security,Proposal,5,Lost,19829,0.38,0.55
10162,1567,122,20240208,20240313,CRM,Negotiation,6,Open,48077,0.19,0.03
10163,1408,109,20240202,20240212,BI Reporting,Qualification,2,Lost,2596,0.22,0.02
10164,1861,107,20240206,20240214,Analytics,Prospecting,1,Lost,104382,0.3,0.02
10165,1752,110,20240216,20240326,Security,Demo,4,Open,54444,0.46,0.03
10166,1799,130,20240222,20240223,Analytics,Prospecting,1,Lost,28444,0.05,0.02
10167,1544,151,20240208,20240402,BI Reporting,Qualification,2,Lost,23079,0.47,0.2
10168,1546,147,20240202,20240214,Security,Qualification,2,Lost,30101,0.25,0.02
10169,1970,135,20240206,20240503,BI Reporting,Discovery,3,Open,50928,0.11,0.02
10170,1163,119,20250908,20260211,CRM,Prospecting,1,Open,14147,0.2,0.02
10171,1651,109,20240229,20240508,BI Reporting,Contracting,7,Won,17414,0.14,0.45
10172,1953,150,20240215,20240412,Analytics,Proposal,5,Lost,130886,0.07,0.04
10173,1979,155,20240227,20241219,BI Reporting,Contracting,7,Won,115576,0.17,0.52
10174,1208,151,20240220,20240403,Security,Discovery,3,Lost,6602,0.47,0.02
10175,1993,155,20240207,20240216,HR Tech,Prospecting,1,Open,98862,0.07,0.02
10176,1923,121,20240229,20240426,BI Reporting,Contracting,7,Won,67607,0.05,0.45
10177,1488,153,20240219,20240402,HR Tech,Contracting,7,Won,8274,0.32,0.45
10178,1739,107,20240212,20240311,Security,Discovery,3,Lost,20023,0.43,0.16
10179,1258,105,20240202,20240311,BI Reporting,Contracting,7,Open,15210,0.47,0.06
10180,1946,110,20240206,20240301,BI Reporting,Contracting,7,Won,255709,0.16,0.51
10181,1069,155,20240212,20240516,CRM,Contracting,7,Won,9723,0.4,0.52
10182,1148,107,20240219,20240523,HR Tech,Discovery,3,Open,10251,0.51,0.09
10183,1996,141,20240222,20240423,Analytics,Qualification,2,Lost,65640,0.07,0.02
10184,1164,147,20240214,20240220,HR Tech,Discovery,3,Lost,9406,0.39,0.12
10185,1199,129,20240228,20240328,Analytics,Prospecting,1,Lost,8741,0.35,0.08
10186,1232,105,20240208,20240314,Security,Contracting,7,Won,9601,0.48,0.6
10187,1412,153,20240229,20240603,CRM,Contracting,7,Won,14894,0.26,0.45
10188,1600,138,20240219,20240412,Analytics,Qualification,2,Lost,16744,0.07,0.02
10189,1146,124,20240205,20240306,Security,Prospecting,1,Lost,8365,0.28,0.02
10190,1653,101,20240221,20240510,CRM,Contracting,7,Won,49119,0.25,0.45
10191,1537,113,20240229,20240321,CRM,Qualification,2,Lost,70571,0.24,0.02
10192,1613,131,20240219,20240226,HR Tech,Contracting,7,Won,35216,0.43,0.56
10193,1449,133,20240213,20240319,Security,Contracting,7,Won,9091,0.42,0.77
10194,1761,128,20240229,20240514,BI Reporting,Qualification,2,Open,44777,0.28,0.02
10195,1073,107,20240229,20240403,Security,Demo,4,Lost,13916,0.47,0.51
10196,1042,155,20240221,20240410,HR Tech,Contracting,7,Won,7185,0.35,0.7
10197,1642,106,20240216,20240523,HR Tech,Negotiation,6,Open,47912,0.36,0.03
10198,1173,129,20240201,20240531,HR Tech,Contracting,7,Won,7769,0.32,0.67
10199,1536,111,20240206,20240228,CRM,Discovery,3,Lost,12902,0.18,0.02
10200,1618,138,20240206,20240603,BI Reporting,Contracting,7,Won,21880,0.17,0.52
10201,1891,111,20240205,20240212,HR Tech,Prospecting,1,Lost,68342,0.05,0.02
10202,1059,122,20240206,20240419,CRM,Prospecting,1,Lost,7590,0.3,0.02
10203,1742,150,20240222,20240403,Security,Discovery,3,Lost,31493,0.31,0.02
10204,1521,131,20240229,20240314,Security,Qualification,2,Lost,47501,0.39,0.02
10205,1857,133,20240223,20240326,Security,Contracting,7,Won,193496,0.27,0.45
10206,1014,105,20240212,20240212,CRM,Discovery,3,Lost,20910,0.41,0.02
10207,1600,111,20240201,20240314,HR Tech,Contracting,7,Won,17254,0.07,0.45
10208,1445,129,20240227,20240529,Security,Contracting,7,Won,4703,0.39,0.74
10209,1847,141,20240227,20240227,HR Tech,Prospecting,1,Lost,76744,0.06,0.02
10210,1858,130,20240227,20240327,BI Reporting,Qualification,2,Lost,64629,0.07,0.02
10211,1532,130,20240222,20240614,HR Tech,Contracting,7,Won,11379,0.23,0.58
10212,1111,130,20240213,20240312,BI Reporting,Qualification,2,Lost,7866,0.19,0.02
10213,1659,147,20240206,20240207,CRM,Discovery,3,Lost,21220,0.29,0.02
10214,1990,106,20240227,20240502,Analytics,Qualification,2,Open,194555,0.26,0.02
10215,1689,129,20240208,20240219,BI Reporting,Prospecting,1,Lost,42645,0.23,0.02
10216,1404,150,20240219,20240219,CRM,Contracting,7,Won,8690,0.26,0.61
10217,1808,131,20240222,20240405,HR Tech,Contracting,7,Won,220781,0.29,0.64
10218,1885,129,20240229,20240325,BI Reporting,Qualification,2,Lost,64885,0.11,0.02
10219,1409,155,20240220,20240415,HR Tech,Qualification,2,Lost,13962,0.25,0.02
10220,1027,154,20240214,20240410,Analytics,Qualification,2,Open,5644,0.25,0.02
10221,1025,109,20240227,20240319,Security,Contracting,7,Won,1809,0.22,0.57
10222,1943,113,20240207,20240528,HR Tech,Contracting,7,Won,107438,0.33,0.68
10223,1468,138,20240206,20240208,Security,Qualification,2,Lost,3937,0.22,0.02
10224,1700,150,20240215,20240321,Security,Discovery,3,Lost,38093,0.2,0.02
10225,1255,155,20240205,20240223,Security,Demo,4,Lost,10307,0.26,0.35
10226,1049,147,20240226,20240404,Security,Contracting,7,Won,10507,0.42,0.77
10227,1651,135,20240208,20240212,Security,Prospecting,1,Lost,15262,0.18,0.02
10228,1572,110,20240219,20240307,BI Reporting,Qualification,2,Lost,62486,0.33,0.06
10229,1759,115,20240201,20240507,HR Tech,Qualification,2,Open,69369,0.23,0.02
10230,1800,119,20240219,20240304,Analytics,Contracting,7,Open,47757,0.17,0.08
10231,1092,151,20240226,20240314,Security,Prospecting,1,Lost,16527,0.38,0.02
10232,1552,130,20240226,20240320,Analytics,Qualification,2,Lost,20372,0.08,0.02
10233,1314,150,20251006,20260122,CRM,Demo,4,Open,14828,0.27,0.49
10234,1655,105,20240222,20240306,HR Tech,Qualification,2,Lost,40507,0.29,0.02
10235,1510,130,20240205,20240228,Analytics,Proposal,5,Lost,22540,0.24,0.33
10236,1272,110,20240223,20240415,HR Tech,Contracting,7,Won,16488,0.38,0.55
10237,1826,115,20240227,20240517,HR Tech,Contracting,7,Won,194755,0.26,0.54
10238,1164,141,20240226,20240305,Analytics,Discovery,3,Lost,3644,0.29,0.02
10239,1115,101,20240229,20241213,Analytics,Contracting,7,Won,12532,0.29,0.64
10240,1931,113,20251013,20260204,BI Reporting,Qualification,2,Open,283560,0.2,0.02
10241,1574,131,20240209,20241003,Security,Contracting,7,Won,69595,0.33,0.63
10242,1552,128,20240206,20240301,Analytics,Prospecting,1,Open,41081,0.12,0.02
10243,1713,130,20240208,20240305,CRM,Demo,4,Lost,16508,0.18,0.45
10244,1093,105,20240228,20240229,BI Reporting,Contracting,7,Open,18259,0.37,0.09
10245,1270,151,20240208,20241115,Analytics,Contracting,7,Won,16146,0.44,0.74
10246,1363,128,20240201,20240502,HR Tech,Qualification,2,Open,5179,0.46,0.03
10247,1395,154,20240226,20240416,CRM,Qualification,2,Lost,7922,0.19,0.02
10248,1754,155,20240221,20240320,Security,Prospecting,1,Lost,20387,0.28,0.02
10249,1231,115,20240215,20240321,HR Tech,Contracting,7,Won,6336,0.48,0.83
10250,1562,111,20240206,20240228,Analytics,Prospecting,1,Lost,18971,0.12,0.02
10251,1507,101,20240202,20240315,Analytics,Qualification,2,Lost,29350,0.17,0.02
10252,1897,111,20240207,20241129,Analytics,Contracting,7,Won,68859,0.05,0.45
10253,1832,131,20240227,20240404,Analytics,Contracting,7,Won,138109,0.31,0.45
10254,1304,101,20240209,20240301,Analytics,Proposal,5,Open,3340,0.29,0.07
10255,1627,151,20240229,20240305,HR Tech,Demo,4,Lost,74914,0.28,0.5
10256,1425,124,20240208,20240301,BI Reporting,Prospecting,1,Open,12031,0.22,0.02
10257,1197,129,20240205,20240425,HR Tech,Contracting,7,Won,6048,0.46,0.46
10258,1532,151,20240226,20240328,BI Reporting,Prospecting,1,Lost,46189,0.41,0.02
10259,1590,131,20240213,20240510,HR Tech,Contracting,7,Won,68941,0.33,0.5
10260,1724,112,20240202,20240311,Security,Proposal,5,Open,32272,0.34,0.06
10261,1380,122,20240205,20240212,Security,Demo,4,Lost,6845,0.36,0.48
10262,1554,115,20240206,20240313,Security,Contracting,7,Won,25048,0.43,0.6
10263,1710,155,20240223,20240408,Analytics,Prospecting,1,Open,36080,0.2,0.02
10264,1848,151,20240214,20240318,Analytics,Contracting,7,Won,241105,0.13,0.45
10265,1132,129,20240216,20240515,CRM,Demo,4,Open,11314,0.31,0.02
10266,1488,135,20240226,20240229,BI Reporting,Prospecting,1,Lost,3568,0.22,0.02
10267,1827,106,20240208,20240426,BI Reporting,Qualification,2,Lost,159722,0.33,0.06
10268,1357,138,20240220,20240423,BI Reporting,Proposal,5,Lost,7726,0.16,0.13
10269,1477,111,20240201,20240228,Security,Proposal,5,Lost,5704,0.1,0.14
10270,1055,150,20240212,20240304,HR Tech,Contracting,7,Won,13138,0.36,0.53
10271,1510,124,20240214,20240222,BI Reporting,Demo,4,Lost,43585,0.28,0.32
10272,1977,105,20240202,20240325,Analytics,Contracting,7,Won,105797,0.38,0.68
10273,1460,128,20240223,20240304,BI Reporting,Prospecting,1,Open,13654,0.27,0.02
10274,1918,103,20240214,20240229,Security,Qualification,2,Lost,224944,0.29,0.02
10275,1724,151,20240226,20240531,Analytics,Contracting,7,Won,24179,0.5,0.5
10276,1363,133,20240221,20240311,CRM,Contracting,7,Won,14046,0.54,0.49
10277,1259,129,20240207,20240216,CRM,Discovery,3,Lost,14691,0.19,0.02
10278,1503,130,20240227,20240409,HR Tech,Qualification,2,Lost,14369,0.18,0.02
10279,1221,121,20240222,20240222,HR Tech,Prospecting,1,Lost,3538,0.18,0.02
10280,1714,128,20240215,20240215,Security,Qualification,2,Lost,36661,0.27,0.02
10281,1584,111,20240223,20240621,BI Reporting,Contracting,7,Won,23341,0.18,0.53
10282,1785,107,20240216,20240308,BI Reporting,Contracting,7,Won,64651,0.23,0.45
10283,1323,129,20240228,20240322,CRM,Demo,4,Lost,12987,0.19,0.41
10284,1730,103,20240226,20240318,Security,Contracting,7,Won,58498,0.3,0.65
10285,1794,106,20240223,20240412,CRM,Prospecting,1,Lost,60229,0.23,0.02
10286,1543,105,20251001,20260204,HR Tech,Qualification,2,Open,67866,0.4,0.13
10287,1751,109,20240206,20240322,Analytics,Discovery,3,Lost,18152,0.17,0.02
10288,1793,130,20240202,20240220,Analytics,Discovery,3,Lost,15938,0.17,0.02
10289,1665,101,20240212,20240221,HR Tech,Contracting,7,Won,22831,0.29,0.45
10290,1092,115,20250929,20260219,CRM,Discovery,3,Open,18223,0.38,0.11
10291,1718,129,20240209,20241206,HR Tech,Contracting,7,Won,41710,0.18,0.53
10292,1714,121,20240207,20240409,HR Tech,Qualification,2,Open,14538,0.21,0.02
10293,1352,151,20240214,20240214,Analytics,Contracting,7,Won,8141,0.58,0.75
10294,1364,113,20240209,20240327,Analytics,Contracting,7,Won,19102,0.36,0.71
10295,1259,153,20240207,20240222,HR Tech,Discovery,3,Lost,4486,0.29,0.02
10296,1267,109,20240228,20250606,HR Tech,Qualification,2,Lost,2643,0.2,0.02
10297,1360,111,20240226,20241204,CRM,Contracting,7,Won,3782,0.22,0.57
10298,1770,124,20240209,20240320,CRM,Contracting,7,Won,49332,0.17,0.45
10299,1021,112,20240227,20240319,BI Reporting,Qualification,2,Lost,3997,0.43,0.16
10300,1061,128,20240216,20240710,Security,Qualification,2,Lost,4564,0.41,0.14
10301,1002,109,20240213,20240328,BI Reporting,Contracting,7,Won,1103,0.33,0.68
10302,1335,101,20240207,20240226,HR Tech,Demo,4,Lost,8017,0.28,0.33
10303,1820,101,20240228,20240715,BI Reporting,Contracting,7,Won,133841,0.05,0.45
10304,1880,119,20240220,20240419,CRM,Contracting,7,Won,82595,0.21,0.56
10305,1652,110,20240205,20240705,BI Reporting,Contracting,7,Won,52650,0.3,0.65
10306,1549,109,20240326,20240422,Analytics,Discovery,3,Lost,21313,0.14,0.02
10307,1894,106,20240313,20240409,Analytics,Contracting,7,Won,257212,0.16,0.51
10308,1588,119,20240313,20240412,Analytics,Qualification,2,Lost,43881,0.14,0.02
10309,1867,135,20240319,20240429,Analytics,Contracting,7,Won,73248,0.05,0.45
10310,1834,107,20240308,20240318,HR Tech,Contracting,7,Won,107953,0.29,0.45
10311,1040,130,20240319,20250514,BI Reporting,Prospecting,1,Lost,7501,0.16,0.02
10312,1124,155,20240321,20240502,Security,Qualification,2,Lost,7774,0.33,0.06
10313,1358,106,20240305,20240319,Analytics,Contracting,7,Won,24336,0.34,0.45
10314,1172,127,20240313,20240705,CRM,Discovery,3,Lost,5076,0.32,0.02
10315,1618,110,20240320,20240325,Analytics,Contracting,7,Won,60186,0.33,0.45
10316,1346,154,20240307,20240408,HR Tech,Discovery,3,Lost,6394,0.12,0.02
10317,1852,128,20240326,20240328,HR Tech,Prospecting,1,Lost,118711,0.1,0.02
10318,1120,155,20240311,20240628,BI Reporting,Qualification,2,Lost,4072,0.43,0.02
10319,1253,115,20240305,20240520,Security,Qualification,2,Lost,9632,0.51,0.12
10320,1984,111,20240313,20240313,HR Tech,Qualification,2,Lost,52343,0.09,0.02
10321,1414,147,20240311,20240320,CRM,Proposal,5,Lost,8870,0.35,0.52
10322,1939,103,20240318,20240531,HR Tech,Contracting,7,Won,272925,0.13,0.48
10323,1773,135,20240327,20240328,BI Reporting,Qualification,2,Lost,13236,0.21,0.02
